Record_Type,ID,Name,Full_Name,Language,Grade_Start,Grade_End,Subtest_Code,Subtest_Name,Subtest_Grade_Start,Subtest_Grade_End,Literacy_Pillars,Description,Assessment_Type,Evidence_Level,URL,Tiers
Intervention,INT-017,Remediation Plus Systems,,English,K,3,,,,,Phonemic Awareness; Phonics; Reading Fluency; Reading Comprehension; Orthography,,,*,http://www.remediationplus.com/products/the-remediation-plus-system/,1; 2
Intervention,INT-018,Remediation Plus Systems,,English,4,8,,,,,Reading Fluency; Reading Comprehension; Vocabulary,,,*,http://www.remediationplus.com/products/the-remediation-plus-system/,2
Intervention,INT-019,Ressource CBE,,French Immersion,M,2,,,,,Alphabetic Principle; Phonics,,,none,,1; 2; 3
Intervention,INT-020,Ressource CBE,,French Immersion,M,4,,,,,Alphabetic Principle,,,none,,2
Intervention,INT-021,REWARDS,,English,4,12,,,,,Reading Fluency; Vocabulary; Orthography,,,**,https://www.voyagersopris.com/products/reading/rewards/overview,2; 3
Intervention,INT-022,Saxon Reading Foundations,,English,K,2,,,,,Phonemic Awareness; Reading Fluency; Orthography,,,**,https://www.heinemann.com/saxon-reading-foundations/,1; 2; 3
Intervention,INT-023,Son au graphe,,French Immersion,3,12,,,,,Alphabetic Principle; Phonics,,,none,,1; 2; 3
Intervention,INT-024,SRA Corrective Reading,,English,K,3,,,,,Reading Comprehension; Orthography,,,*,(Nelson),2; 3
Intervention,INT-025,SRA Corrective Reading,,English,3,12,,,,,Alphabetic Principle; Phonemic Awareness; Phonics; Reading Fluency; Reading Comprehension,,,*,(Nelson),2; 3
Intervention,INT-026,SRA Early Interventions in Reading Skills,,English,K,3,,,,,Phonemic Awareness; Reading Fluency,,,*,(Nelson),2
Intervention,INT-027,SRA Open Court,,English,K,3,,,,,Phonics; Reading Fluency; Vocabulary; Reading Comprehension,,,*,https://pages.nelson.com/assets/pdf/open_court.pdf,1; 2
Intervention,INT-028,SRA Open Court,,English,4,6,,,,,Reading Fluency; Vocabulary; Reading Comprehension,,,*,https://pages.nelson.com/assets/pdf/open_court.pdf,2
Intervention,INT-029,SRA Reading Mastery,,English,K,6,,,,,Alphabetic Principle; Phonemic Awareness; Phonics; Reading Fluency; Vocabulary; Reading Comprehension; Orthography,,,*,(Nelson),2
Intervention,INT-030,STARI,,English,6,9,,,,,Reading Fluency; Reading Comprehension,,,**,https://www.serpinstitute.org/stari,2; 3
Intervention,INT-031,UFLI Manual,,English,K,2,,,,,Alphabetic Principle; Phonemic Awareness; Phonics; Reading Fluency; Vocabulary; Reading Comprehension; Orthography,,,**,https://ufli.education.ufl.edu/foundations-materials/,1; 2
Intervention,INT-032,UFLI Manual,,English,K,8,,,,,Alphabetic Principle; Phonemic Awareness; Phonics; Reading Fluency; Vocabulary; Reading Comprehension; Orthography,,,**,https://ufli.education.ufl.edu/foundations-materials/,2; 3
Intervention,INT-033,Wilson Fundations,,English,K,3,,,,,Alphabetic Principle; Phonemic Awareness; Phonics; Reading Fluency; Vocabulary; Reading Comprehension; Orthography,,,*,https://www.wilsonlanguage.com/programs/fundations/,1; 2
Intervention,INT-034,Wilson Reading System,,English,2,12,,,,,Alphabetic Principle; Orthography,,,**,https://www.wilsonlanguage.com/programs/wilson-reading-system/,3
Intervention,INT-035,Words Their Way,,English,K,12,,,,,Orthography,,,none,,1; 2; 3
Intervention,INT-036,WordGen Elementary,,English,4,5,,,,,Vocabulary,,,**,https://www.serpinstitute.org/wordgen-elementary,1
Intervention,INT-037,WordGen Weekly,,English,6,8,,,,,Vocabulary,,,**,https://www.serpinstitute.org/wordgen-weekly,1
